#Note: new numbering still has to be added!. Also search for NUMBER. 
#&=retelling of the same story

pi-tv-bu-vb-intro,~an8.11,pi-tv-bu-vb-pj1#3-#39
mn35#5,~sn22.15,~kv23.5#19,~kv2.8#216,~kv1.1#367
an1.11-20#17.1,pe3#27
an10.69#1,dn1#41,dn2#64,mn76#2,pi-tv-bu-vb-pc85#1,sn56.10#1,cnd23#162,pi-tv-kd5#31,mnd14#128
an10.7#3,an11.20#2
an10.71#2,an4.12#1,iti111#2
an10.71#3,mn6#3
an10.72#6,kv2.5#185
an10.79#1,an9.29#1,an10.80#1,an9.30#1,cnd7#160,dn33#305,dn34#189,ds2.3.2#163,mnd10#17,vb17#308,vb17#316
an10.90,an8.28,ps2.9#1-#27,~sn50.1-12
an10.92,an9.27,sn55.28
an10.99#8,dn2#46,mn101#38,mn27#23,mn38#95,mn76#22,mn94#13
an11.10#6-#8,dn27#44-#46,dn3#35-#37,mn53#17-#8,~sn21.11#3,~sn6.11#2
an11.11#3,an6.10#2,ne13#235
an11.12#4,an6.8#1,dn33#232
an5.65,an5.163,an5.164
mn33#3,kv14.4#37
an11.2#7,mil3.1.14#3,ne14#253,pe5#51,sn22.5#1,sn35.99#1,sn56.1#1
an2.1-10#5.1,mn70#25,mnd16#134,mnd3#17,sn12.22#2,cnd23#309
an2.1-10#1.3,mn129#4,mn13#11,mnd15#6,mnd7#56,cnd20#812,cnd23#31
an2.1-10#2.1,ne37#312
an2.1-10#8.1,iti42#2
an2.130-140#130.1,an4.176#1
an2.130-140#133.1,an4.176#4
an2.280-309#280.1,pi-tv-pvr21#18
an2.32-41#40.2,mil6.1.3#1
an2.98-117#98.1-#107.1,pi-tv-pvr7#12
an2.98-117#98.1,pi-tv-pvr7#11
an3.107#1,mnd14#143
an3.111#1,cnd7#102
an3.116#1,an4.123#1
an3.122#4,cnd8#219-#220,iti67#3,mnd2#119-#120,mnd13#149-#150
an3.132#1,pp2.3#30
an3.22#1,pp2.3#4
an3.25#1-#2,pp2.3#18-#19
an3.26#2,pp2.3#44
an3.28#1,cnd22#7,mn114#8,mn41#9,mnd14#202,mnd7#48,pp2.3#15
an3.3#1,mn129#2,ne37#399,pe3#14
an3.3#2,mn129#22,ne37#400
an3.30#1,pp2.3#24
an3.31#1,an4.63#1-#2,iti106#2-#3
an3.31#2-#4,an4.63#3-#5,iti106#4-#6,ja532#90-#92
an3.33#1,kv18.2#8
an3.35#8-#9,pi-tv-kd16#59-#60,sn10.8#12-#13
sn10.8,pi-tv-kd16#52-#60
an3.36#1,mn130#7
an3.36#16-#17,mn129#10-#11,mn130#24-#25,pv10#13-#14,ja530#18-#19,mnd15#9-#10,cnd23#35-#36,kv20.3#26-#27,pv19#14-#15,pv38#37-#38
an3.36#13,mn130#23,~mil3.4.6#2
pv10#12-#15,pv19#13-#16
pv19#16,pv38#41,pv10#15
an3.47,kv1.1#346-#347
an3.60#8,dn11#4-#5,ps3.6#1-#2
an3.65#4,an4.193#3
an3.66#47,kv1.6#719
an3.67#1,dn33#103,kv15.3#29
an3.70#35-#40,an8.42#10-#15
an3.70#29,vb18#181
an3.94#2,kv1.4#592,kv2.2#78
an3.99#2-#3,pp2.3#33-#35
an4.100#2,pp2.4#80
an4.101#2,pp2.4#30
an4.103#1,pp2.4#48
an4.104#1,pp2.4#54
an4.105#1,pp2.4#42
an4.108#1,pp2.4#60
an4.109#1,pp2.4#96
an4.110#1,pp2.4#66
an4.114#8,an4.164#4
an4.122,mn67#5-#9
an4.123#1,kv13.7#40
an4.132#1,pp2.4#21
an4.133#1,pe8#85,pp2.4#17
an4.134#1,pp2.4#84
an4.135,~pp1.4#5,pp2.4#13-#16S
an4.139#1,pp2.4#25
an4.160#4-#11,an5.156#1-#9
an4.161#1,pe9#30
an4.17#1,dn33#137,pi-tv-pvr7#52,vb17#223
an4.17#2,dn31#9,ne37#8,pe3#22
an4.170,ps2.1#1-#7
an4.171#1-#5,~kv8.9#104,sn12.25#10-#14
dn31#9-#10,~an4.18#2,~ne37#8,~pe3#22,an4.19#3-#4
an4.182,kv11.5#24
an4.191#1,pe8#280
an4.192#2,~sn3.11#1
an4.193#15,an8.44#2
an4.193#2,mn56#33
an4.195#6-#9,~sn42.12#22
an4.198#1,dn33#165,~mn51#9
mn101#43-#50,~an4.198#13-#14,mn27#35-#42,mn38#107-#108,mn51#19-#23,mn94#24-#28,pp2.4#127-#131
an4.199#3,vb17#323
an4.200#9,mn109#9,mn44#8,ne20#395,ps1.2#65,sn22.44#1,sn41.3#5,vb17#136
an4.201#2,pp2.4#1
an4.21#1-#11,sn6.2
an4.21#1,kv18.1#3
dn14#178,kv18.1#3
dn16#150,kv18.1#3
dn24#20,kv18.1#3
an4.211,pi-tv-pvr7#49
an4.23#2-#5,dn29#46
an4.232,dn33#147,mn57#6,ne37#305
an4.241,mn11#3
an4.25#2-#3,iti35#3-#4
an4.250#1,dn33#161,pi-tv-pvr7#47,vb17#225
an4.256,an4.32#1,an8.24#1,dn33#158
an4.26,iti108,mnd6#44-#46
an4.28#1-#3,dn33#121-#123,mnd16#222-#224
an4.29#1-#4,ne37#390
an4.30#8,kv1.6#716,mn117#16,sn22.62#13
sn22.62#1,kv1.6#713
an4.31#1,pe6#44
an4.32#2-#4,dn31#62-#64,ja532#87-#89
an4.34#5-#8,iti90#5-#8,an5.32#8-#11
an4.34#1-#4,iti90#2-#4,
an4.36#4,kv18.1#4
an4.37#3,kv18.9#69,mn33#17-#20,kv10.3#20
an4.38#5-#6,iti55#3-#4
an4.38#4,mnd10#40
an4.40#7,an6.37#9,an8.37#4
an4.44#3,ne37#27
~an4.47#2,ja537#44,ja537#78
an4.47#2-#3,kv7.5#38-#39
an4.47#1,kv10.9#64,kv13.5#26,kv13.7#39,kv7.5#37
an4.5#1,ne37#299,pe8#261
an4.51#1-#4,kv7.5#45
an4.52#5-#7,an5.47#7-#9,pe3#57-#59,sn11.14#4-#6,sn55.26#20-#22,~tha-ap65#3,thag8.2#507-#509
an4.58#3-#4,an4.59#2-#3,~pi-tv-kd6#85
an4.61#13-#20,an5.41
an4.67#5-#10,ja203,pi-tv-kd15#27-#32
an4.68#6,ne37#25,pi-tv-kd17#29,sn17.35#7,sn6.12#2
an4.68,pi-tv-kd17#24-#29,sn17.35
an4.70#3-#4,ja334#3-#4,ne37#20-#21,ne37#72-#73
an4.76#2-#6,dn16#232
mn142#13-#17,an4.78,~kv17.11#74
mn143#16-19,sn2.20#2-#5,sn1.48
an4.85,ne37#268,pe8#175-#179,pp2.4#88-#91,sn3.21#1-#9
an4.86#1,pp2.4#92-#95
an4.87#5-#7,an5.104
an4.88#2-#5,pp2.4#148-#151
an4.95#1,kv1.1#75,pp1.4#25
an4.96#2-#4,kv1.1#76,pp2.4#106-#109
an5.100#1-#5,pi-tv-kd17#13-#15
an5.100#6-#11,pi-tv-kd17#16-#21,pi-tv-kd17#56-#57
an5.102#2,mnd16#123,vb12#15,~pi-tv-pvr7#63
an5.121#3,an9.16#1
an5.130,dn33#181-#182,~pi-tv-pvr7#63,pi-tv-pvr17#142-#143
an5.142#6-#9,pp2.5#1-#4
an5.143#5,an5.195#5
an5.149,an5.150,kv1.2#511
an5.181#1,~pi-tv-pvr17#126,~pi-tv-pvr7#65
pi-tv-pvr17#126-#127,pi-tv-pvr7#65
an5.192#3,dn13#14,dn13#29,dn3#58,mn95#25,pi-tv-kd6#156
an5.205-an5.206,an9.71-an9.72,dn33#189-#190,mn16#3-#12
an5.207,pi-tv-kd6#84
an5.209,pi-tv-kd15#20
an5.210,kv2.1#42,pi-tv-kd8#114-#115
an5.251-an5.253,pi-tv-kd1#369-#371
an5.272,pi-tv-pvr17#231-#233
an5.30#1-#4,an6.42#1-#4,an8.86#1-#4
an5.31#11,sn3.24#8
an5.34#8,pe3#7
an5.39,kv7.6#57-#62
an5.43#10-#11,iti23#3-#4,sn3.17#6-#7
an5.48#7-#10,ja368#2-#5,~an5.50#17
an6.1#2,dn33#214,ps3.2#24,mn140#9,mnd13#126,cnd8#182
an6.11,dn33#217-#222,pi-tv-pvr4#18-#23
an6.2,dn34#91-#71
an6.36,dn33#223-#224,mn104#6-#7,pi-tv-kd14#108-#109,pi-tv-pvr4#14-#15
an6.37#6,pv21#49
an6.43#5-#20,thag15.2
an6.54#14-#20,~an7.66#11,an7.73
an6.54#22-#24,kv1.5#613-#615
an6.54#28-#29,pe3#74
an6.55#20-#22,kv1.2#507-#509,pi-tv-kd5#18-#20
an6.55,~pi-tv-kd5#4-#20
an6.57,~dn33#235,~ne37#301
an6.58,mn2,~mnd16#217
~an6.62#2,an8.7#2-#6,pi-tv-kd17#92-#93,~pi-tv-pvr7#113
~an6.63#8,mn13#4-#12,~mn139#17,mn14#5-#13,~sn36.20#2,~sn36.19#6,~kv8.3#28,~cnd23#167
an6.63#9,kv8.4#33,~sn1.34#4
an6.63#33,kv9.9#103
an6.72#1,~an7.40,an6.24
an6.98,ps3.9#2-#9
an7.15#1-#8,kv19.7#49-#51,pp2.7#1-#7
an7.19#1,kv9.1#4
an7.20#1,an7.42#5,dn33#245
an7.27,dn16#36-#38
an7.37#1-#2,ne37#341-#342
an7.44,cnd18#704-#710,dn33#248-#254,dn34#98-#107
an7.61#11,mnd14#198
~an7.64#12-#13,iti88#1-#10,mnd1#56-#62,mnd16#99-#105,mnd14#78-#84,cnd23#104-#110
an7.66#15-#15,kv1.5#618-#619
an7.67#18,mil3.1.12#3
an7.67#19,mil7.4.10#7
an7.72#18,mil5.3.2#1
an7.75-an7.78,pi-tv-pvr7#97-#100
an8.1#4-#7,iti27#7-#10,~pe3#29,~ja451#10,~mil7.6.2#4
an8.10#10-#11,mil7.7.10#3-#4
an8.12,pi-tv-kd6#120-#136
an8.120,an8.66,dn15#49,mn77#36
an8.14#10-#17,vb17#297-#304
an8.16,pe5#16-#18,pi-tv-kd17#88-#91
an8.19#10-#18,~mil7.3.10#5,pi-tv-kd19#16-#23,ud5.5#9-#26,an8.20#7-#9,~kv2.9#248,~kv12.8#47
an8.19#2-#9,pi-tv-kd19#6-#14
an8.20#1-#6,pi-tv-kd19#1-#4,ud5.5#1-#8
an8.29#1-#10,dn34#150-#157
an8.30#1,dn34#158
an8.30#23-#25,thag16.9#901-#903
an8.31,dn33#280
an8.32,kv7.4#28
an8.35,dn33#281-#284
an8.36,~iti60#2
an8.39#4,kv7.4#30
an8.40,kv22.7#26-#27
an8.5#1,dn33#286,ne37#326
an8.51#11-#18,pi-tv-bu-vb-pc21#18,pi-tv-kd20#7-#14
an8.51#26,mil5.1.7#1,pi-tv-kd20#28
an8.52#2,pi-tv-bu-vb-pc21#13
an8.53#1-#3,pi-tv-kd20#43
an8.54#15-#18,an8.75#2-#5
an8.56,cnd23#180-#183
an8.61,an8.77
an8.62,an8.78
an8.80,dn33#272-#279,dn34#142-#149
an8.87,pi-tv-kd15#106
an8.89,pi-tv-kd11#186-#189
an8.90,pi-tv-kd14#85-#86
an9.13#1-#20,mn101#19-#28
an9.21#3,kv1.3#548
an9.23,dn15#17
an9.24,dn33#307-#315
an9.28#1,sn55.29
an9.31,dn33#326,kv2.5#183
sn36.11#2,kv2.5#183
sn36.15,kv2.5#183
an9.32,~dn33#326,dn34#176-#178
an9.36#2,cnd5#564,mn64#17,mnd14#11,cnd15#570
snp5.1,cnd1
snp5.7#1076,cnd10#349,cnd2#43
snp5.7#1077,cnd10#358,cnd2#44
snp5.7#1078,cnd10#366,cnd2#45
snp5.7#1079,cnd10#373,cnd2#46
snp5.7#1080,cnd10#380,cnd2#47
snp5.7#1081,cnd10#385,cnd2#48
snp5.7#1082,cnd10#391,cnd2#49
snp5.7#1083,cnd10#397,cnd2#50
snp5.8#1084,cnd11#405,cnd2#52
snp5.8#1085,cnd11#411,cnd2#53
snp5.8#1086,cnd11#420-#421,cnd2#54
snp5.8#1087,cnd11#431,cnd2#55
snp5.8#1088,cnd11#439-#440,cnd2#56
snp5.8#1089,cnd11#450-#451,cnd2#57
snp5.8#1090,cnd11#461-#462,cnd2#58
snp3.2#439-#442,cnd11#415-#417,mnd4#49-##52,~mnd13#142,mnd8#67
cnd11#418,mnd4#53,mnd8#68
cnd11#455,cnd11#467,mnd2#104
sn22.25,sn23.9,cnd11#457,mnd11#91
snp5.9#1091,cnd12#474,cnd2#60
snp5.9#1092,cnd12#482,cnd2#61
snp5.9#1093,cnd12#488,cnd2#62
snp5.9#1094,cnd12#494,cnd2#63
sn12.66#5,cnd12#490
snp5.10#1095,cnd13#502,cnd2#65
snp5.10#1096,cnd13#508,cnd2#66
snp5.10#1097,cnd13#515,cnd2#67
snp5.10#1098,cnd13#521,cnd2#68
snp5.11#1099,cnd14#530,cnd2#70
snp5.11#1100,cnd14#543,cnd2#71
snp5.11#1101,cnd14#550,cnd2#72
snp5.11#1102,cnd14#556,cnd2#73
sn15.1#2,cnd14#535,pe9#1,kv1.1#183
snp5.12#1103,cnd15#564,cnd2#75
snp5.12#1104,cnd15#573,cnd2#76
snp5.12#1105,cnd15#580,cnd2#77
snp5.12#1106,cnd15#586,cnd2#78
snp5.12#1107,cnd15#592,cnd2#79
snp3.6#537,cnd15#566,cnd16#609,cnd23#130
snp5.13#1108,cnd16#599,cnd2#81
snp5.13#1109,cnd16#606,cnd2#82
snp5.13#1110,cnd16#614,cnd2#83
snp5.13#1111,cnd16#620,cnd2#84
snp5.14#1112,cnd17#628,cnd2#86
snp5.14#1113,cnd17#645,cnd2#87,an3.33#4
snp5.14#1114,cnd17#653,cnd2#88,an3.33#5
snp5.14#1115,cnd17#659,cnd2#89
snp5.14#1116,cnd17#663,cnd2#90
snp5.14#1117,cnd17#668,cnd2#91
snp5.14#1118,cnd17#674,cnd2#92
cnd17#630-#632,mnd16#265-#267
cnd17#649,mnd10#22,mnd16#247
snp5.15#1119,cnd18#683,cnd2#94
snp5.15#1120,cnd18#695,cnd2#95
snp5.15#1121,cnd18#702,cnd2#96
snp5.15#1122,cnd18#724,cnd2#97
dn29#45,~cnd18#688,~cnd18#712
mn12#35-#40,cnd18#715-#720
snp5.16#1123,cnd19#734,cnd2#99
snp5.16#1124,cnd19#756,cnd2#100,tha-ap542#25
snp5.16#1125,cnd19#762,cnd2#101,tha-ap542#26
snp5.16#1126,cnd19#769,cnd2#102,tha-ap542#27-#28,mnd15#172,ne4#32,pe2#72,kv1.1#361
dn14#110-#135,sn12.4
cnd19#737-#739,mnd14#57-#59,mnd16#23-#25
mnd16#35,mnd14#69,cnd19#751,cnd10#354,cnd9#307,ps1.4#94,ps1.1#575
cnd19#754,cnd8#235,mnd14#12
sn35.82#2,cnd19#769
sn22.59#2-#5,pi-tv-kd1#89-#93,cnd19#770-#774
sn12.37,cnd19#775,mnd15#170
cnd19#778,mnd15#39
sn22.33,cnd19#782
cnd19#784-#784,mnd15#175-#176
sn35.246,cnd19#787
snp5.2#1039,cnd2#1,ne5#53,ne16#334,cnd5#1
snp5.2#1040,cnd2#2,ne5#56,ne16#335,pe1#109,cnd5#8
snp5.2#1041,cnd2#3,ne16#337,cnd5#16,ne5#66
snp5.2#1042,cnd2#4,ne16#338,pe1#132,pe5#7,ne5#72,cnd5#23
snp5.2#1043,cnd2#5,ne16#340,cnd5#29,ne5#75
snp5.2#1044,cnd2#6,cnd5#35,ne16#342,ne5#76,pe5#10
snp5.2#1045,cnd2#7,ne5#87,cnd5#41,pe5#12,sn12.31#2
snp5.2#1046,cnd2#8,cnd5#50,ne5#90
snp5.3#1047,cnd2#10,cnd6#70
snp5.3#1048,cnd2#11,cnd6#79
snp5.3#1049,cnd2#12,cnd6#87,~an6.61#2
snp5.4#1050,cnd2#14,cnd7#99
snp5.4#1051,cnd2#15,cnd7#124
snp5.4#1052,cnd2#16,cnd7#132
snp5.4#1053,cnd2#17,cnd7#138
snp5.4#1054,cnd2#18,cnd7#148
snp5.4#1055,cnd2#19,cnd7#155,an3.32#6,an4.41#6
snp5.5#1056,cnd2#21,cnd8#168
snp5.5#1057,cnd2#22,cnd8#198
snp5.5#1058,cnd2#23,cnd8#204
snp5.5#1059,cnd2#24,cnd8#210
snp5.5#1060,cnd2#25,cnd8#227
snp5.5#1061,cnd2#26,cnd8#233
snp5.5#1062,cnd2#27,cnd8#239
snp5.5#1063,cnd2#28,cnd8#246
snp5.5#1064,cnd2#29,cnd8#251
snp5.5#1065,cnd2#30,cnd8#257
snp5.5#1066,cnd2#31,cnd8#267
snp5.5#1067,cnd2#32,cnd8#278
snp5.6#1068,cnd2#34,cnd9#287
snp5.6#1069,cnd2#35,cnd9#294
snp5.6#1070,cnd2#36,cnd9#301
snp5.6#1071,cnd2#37,cnd9#311,mnd2#29,kv2.4#135
snp5.6#1072,cnd2#38,cnd9#322
snp5.6#1073,cnd2#39,cnd9#328,ne37#363
snp5.6#1074,cnd2#40,cnd9#335,ne37#364
snp5.6#1075,cnd2#41,cnd9#341,ne37#365
snp5.17#1127,cnd2#104,cnd20#803
snp5.17#1128,cnd2#105,cnd20#811
snp5.17#1129,cnd2#106,cnd20#820
snp5.17#1130,cnd2#107,cnd20#826
snp5.18#1,cnd21#1,cnd3#1
snp5.18#1131,cnd21#10,cnd3#2
snp5.18#1132,cnd21#11,cnd3#3
snp5.18#1133,cnd21#12,cnd3#4
snp5.18#1134,cnd21#18,cnd3#5
snp5.18#1135,cnd21#24,cnd3#6
snp5.18#1136,cnd21#30,cnd3#7
snp5.18#1137,cnd21#36,cnd3#8
snp5.18,cnd3
cnd21#13,mnd16#55,ps1.3#57
snp5.19,cnd4
snp5.19#1138,cnd4#1,cnd22#1
snp5.19#1139,cnd4#2,cnd22#10
snp5.19#1140,cnd4#3,cnd22#17
snp5.19#1141,cnd4#4,cnd22#25
snp5.19#1142,cnd4#5,cnd22#29
snp5.19#1143,cnd4#6,cnd22#36
snp5.19#1144,cnd4#7,cnd22#58
snp5.19#1145,cnd4#8,cnd22#64
snp5.19#1146,cnd4#9,cnd22#70
snp5.19#1147,cnd4#10,cnd22#76
snp5.19#1148,cnd4#11,cnd22#82
snp5.19#1149,cnd4#12,cnd22#88
snp5.19#1150,cnd4#13,cnd22#94
snp5.19#1151,cnd4#14,cnd22#100
snp5.19#1152,cnd4#15,cnd22#106
snp5.19#1153,cnd4#16,cnd22#112
snp5.19#1154,cnd4#17,cnd22#117
snp5.19#1155,cnd4#18,cnd22#126
snp5.19#1156,cnd4#19,cnd22#134
cnd22#122,mnd10#70
cnd22#127,cnd9#302
cnd22#13,mnd3#55,vb17#1
cnd22#14,vb17#74,cnd23#220
cnd22#19,ps1.1#532
snp1.3#35,cnd23#1,tha-ap2#10
snp1.3#36,cnd23#22,tha-ap2#11
snp1.3#37,cnd23#54,tha-ap2#12
snp1.3#38,cnd23#62,tha-ap2#13
snp1.3#39,cnd23#68,tha-ap2#14
snp1.3#40,cnd23#81,tha-ap2#15
snp1.3#41,cnd23#85,tha-ap2#16
snp1.3#42,cnd23#93,tha-ap2#17
snp1.3#43,cnd23#121,tha-ap2#18
snp1.3#44,cnd23#126,tha-ap2#19
snp1.3#47,cnd23#146,tha-ap2#22
snp1.3#48,cnd23#153,tha-ap2#23
snp1.3#49,cnd23#158,tha-ap2#24
snp1.3#50,cnd23#166,tha-ap2#25,thag16.4#787,mn82#48,~pe2#94
snp1.3#51,cnd23#179,tha-ap2#26
snp1.3#52,cnd23#187,tha-ap2#27
snp1.3#53,cnd23#192,tha-ap2#28
snp1.3#54,cnd23#202,tha-ap2#29
snp1.3#55,cnd23#207,tha-ap2#30
snp1.3#56,cnd23#212,tha-ap2#31
snp1.3#57,cnd23#223,tha-ap2#32
snp1.3#58,cnd23#229,tha-ap2#33
snp1.3#59,cnd23#236,tha-ap2#34
snp1.3#60,cnd23#243,tha-ap2#35
snp1.3#61,cnd23#248,tha-ap2#36
snp1.3#62,cnd23#253,tha-ap2#37
snp1.3#63,cnd23#258,tha-ap2#38
snp1.3#64,cnd23#280,tha-ap2#39
snp1.3#65,cnd23#286,tha-ap2#40
snp1.3#66,cnd23#297,tha-ap2#41
snp1.3#67,cnd23#302,tha-ap2#42
snp1.3#68,cnd23#306,tha-ap2#43
snp1.3#69,cnd23#318,tha-ap2#44
snp1.3#70,cnd23#325,tha-ap2#45
snp1.3#71,cnd23#332,tha-ap2#46
snp1.3#72,cnd23#337,tha-ap2#47
snp1.3#73,cnd23#341,tha-ap2#48
snp1.3#74,cnd23#345,tha-ap2#49
snp1.3#75,cnd23#350,tha-ap2#50
snp1.3,tha-ap2#10-#50
sn35.151#1-#3,cnd23#102-#103,mnd1#53-#54,mnd14#76-#77,mnd16#96-#97
sn3.2#2,cnd23#112,mnd1#64,mnd16#107,mnd14#86
snp2.5#274,cnd23#116,mnd1#68,mnd16#111,sn10.3#4,ne37#198
snp2.5#273-#276,sn10.3#3-#6,ne37#197-#200,~mnd14#90
dn1#40,cnd23#127
sn47.18#6,sn47.43#6,cnd23#14,mnd16#47,cnd22#46,ne37#516
ps1.4#60-#62,cnd23#18-#19
mil7.2.4#1,cnd23#149,mnd14#121
cnd23#334,cnd10#386,cnd23#189
snp3.6#528,cnd23#194,cnd8#261,mnd9#92
cnd8#264,mnd5#52
cnd23#214-#218,mnd10#41-#45
mn108#11,cnd23#230
mn80#15,cnd23#237,cnd23#249
cnd23#26,cnd6#90,mnd2#95,~ds2.3.1#23,~ds2.3.2#146
sn35.243,cnd23#271-#276
cnd23#28-#31,mnd15#3-#6
ja530#17,cnd23#37,mnd15#11
cnd23#38-#49,mnd15#12-#23
mn130#23,an3.36#14-#15,cnd23#32-#33,mnd15#7-#8
cnd23#287,vb2#26
cnd17#654,mnd16#245,cnd23#304,ds2.1.1#23,ds2.1.1#27
cnd23#310,mnd3#18
cnd23#315,mnd3#20
cnd23#328-#329,~cnd8#273-#274
cnd8#273,~mnd1#80,mnd16#61
cnd17#640,~mnd1#80
cnd23#5-#17,cnd22#37-#49,mnd16#38-#50
cnd23#64,cnd8#231,mnd1#29,mnd10#118
mn25#18-#26,cnd19#793-#799,cnd23#70-#78
pi-tv-bu-vb-ss13#1,cnd23#86,mnd14#144,pi-tv-kd11#118,pi-tv-kd15#195
cnd23#94,dn33#118
cnd23#97-#117,mnd1#48-#69,mnd14#71-#91
cnd5#11,mnd14#19,mnd7#16
cnd5#13,ds2.3.2#185,vb17#109
cnd5#12,vb17#26
cnd5#14,cnd22#107,mnd1#70,mnd2#87,~cnd8#195
cnd5#38,mnd2#61
cnd5#51-#55,mnd1#3-#7,mnd2#15-#18
snp3.6#520,cnd5#65,mnd3#28
cnd23#321,mnd1#75,cnd6#82
cnd6#88,mnd5#35
sn47.11,cnd6#93-#94
sn20.1,cnd7#104
sn45.139,~cnd7#105
cnd7#109,mnd16#73
cnd7#158,~mnd3#27
an7.85,cnd5#64,mnd3#27
cnd7#115-#122,cnd8#169-#176,mnd14#3-#6
cnd8#178,mnd9#103
snp3.6#535,mnd9#104,cnd8#179,mnd4#41,,cnd8#280
pi-tv-kd2#6,mnd15#26,mnd16#155,cnd8#200
cnd8#215-#244,mnd2#115-#124,~mnd13#145-#146,~mnd13#124
snp3.6#533,cnd8#224,mnd2#124
cnd8#247,mnd14#133,mnd2#127
cnd8#260-#264,mnd9#91-#95
snp3.6#525,cnd8#269,mnd4#18,cnd9#304
cnd9#313,mn8#61,mnd2#26
cnd9#317,mn107#14,mnd2#34
cnd5#30,ds2.1.1#28
~mnd10#127,mnd7#28
cnd10#399,~mnd10#127
cnd5#44-#47,mnd2#55-#59
cnd5#61-#64,mnd1#30-#33
sn22.54#2,sn22.53#1,mnd2#7,cnd18#703
sn35.85,mnd15#183,cnd19#783,kv1.1#374,ps2.10#2
ja480,&cp1
ja316,&cp10
ja455,&cp11
ja543,&cp12
cp12#4,cp20#3
ja506,&cp13
ja443,&cp14
ja482,&cp16
ja497,&cp17
ja457,&cp18,~mil5.4.7#28
ja513,&cp19
ja442,&cp2
ja524,&cp20
ja460,&cp21
ja505,&cp22
ja488,&cp24
ja532,&cp25
ja538,&cp26
ja35,&cp28,&cp29#10
ja75,&cp29#7,&cp30#7
ja444,&cp31
ja537,&cp32
ja537#48,mil7.3.10#7
ja540,&cp33
ja303,&cp34
ja303,&cp34
tha-ap1#75-#81,cp35#11-#17
dn19,&cp5
ja541,&cp6
ja544,&cp7
ja499,&cp8
ja547,&cp9
mil5.1.4#10,cp9#52
mil6.3.1#23,cp9#53
dn1#106,~kv3.11#183
dn1#56,dn28#29
dn1#12,~mnd16#121,~mnd10#26
dn1#7,~mil5.3.10#1
dn10#43-#44,mn77#51,ps3.2#16
dn11#10,~kv7.3#22
dn16#104-#106,sn47.9,~mil5.2.2,~mil5.2.7
an8.70,dn16#107-#177,~mil5.1.10,~sn51.10,~ud6.1,~kv11.5#23,~mil5.1.4#1-#2
sn51.10,ud6.1,~mil5.1.10,~kv11.5#23
dn16#117,an8.70#11,sn51.10#18,ud6.1#17,ne14#267,pe3#38
dn16#174-#175,~mil5.3.6#2,ud8.5#8-#9
dn16#187-#193,ud8.5#14-#23,~mil5.3.6#3
dn16#193,pe2#30,~pe8#293,ud8.5#23
dn16#206,~mil5.3.7#1,~mil7.7.2#2
dn16#214,~mnd6#34
dn16#218,~dn17#1
dn16#226,~kv20.5#43
dn16#228,~mil5.1.7#1
dn16#234,~kv22.3#12
mn50#21,thag20.1#1197
