name,uid,vagga_number,number_in_vagga,volpage
Oṭṭhanillehaka,pi-tv-bu-vb-sk54,,,
Sāmisa,pi-tv-bu-vb-sk55,,,
Sasitthaka,pi-tv-bu-vb-sk56,,,
Chattapāṇi,pi-tv-bu-vb-sk57,,,
Daṇḍapāṇi,pi-tv-bu-vb-sk58,,,
Satthapāṇi,pi-tv-bu-vb-sk59,,,
Āvudhapāṇi,pi-tv-bu-vb-sk60,,,
Pāduka,pi-tv-bu-vb-sk61,,,
Upāhanāruḷha,pi-tv-bu-vb-sk62,,,
Yāna,pi-tv-bu-vb-sk63,,,
Sayana,pi-tv-bu-vb-sk64,,,
Pallatthika,pi-tv-bu-vb-sk65,,,
Veṭhita,pi-tv-bu-vb-sk66,,,
Oguṇṭhita,pi-tv-bu-vb-sk67,,,
Chamā,pi-tv-bu-vb-sk68,,,
Nīcāsana,pi-tv-bu-vb-sk69,,,
Ṭhita,pi-tv-bu-vb-sk70,,,
Pacchatogamana,pi-tv-bu-vb-sk71,,,
Uppathenagamana,pi-tv-bu-vb-sk72,,,
Ṭhitouccāra,pi-tv-bu-vb-sk73,,,
Hariteuccāra,pi-tv-bu-vb-sk74,,,
Udakeuccāra,pi-tv-bu-vb-sk75,,,
Paṭhamaaniyata,pi-tv-bu-vb-an1,,,
Dutiyaaniyata,pi-tv-bu-vb-an2,,,
Methunadhamma,pi-tv-bu-pm-pj1,,,
Dinnādāna,pi-tv-bu-pm-pj2,,,
Manussaviggaha,pi-tv-bu-pm-pj3,,,
Uttarimanussadhamma,pi-tv-bu-pm-pj4,,,
Sukkavisaṭṭhi,pi-tv-bu-pm-ss1,,,
Kāyasaṁsagga,pi-tv-bu-pm-ss2,,,
Duṭṭhullavācā,pi-tv-bu-pm-ss3,,,
Attakāmpāricariya,pi-tv-bu-pm-ss4,,,
Sañcaritta,pi-tv-bu-pm-ss5,,,
Kuṭikāra,pi-tv-bu-pm-ss6,,,
Vihārakāra,pi-tv-bu-pm-ss7,,,
Duṭṭhadosa,pi-tv-bu-pm-ss8,,,
Aññabhāgiya,pi-tv-bu-pm-ss9,,,
Saṅghabheda,pi-tv-bu-pm-ss10,,,
Bhedānuvattaka,pi-tv-bu-pm-ss11,,,
Dubbaca,pi-tv-bu-pm-ss12,,,
Kuladūsaka,pi-tv-bu-pm-ss13,,,
Sammukhāvinaya,pi-tv-bu-pm-as1,,,
Sativinaya,pi-tv-bu-pm-as2,,,
Amūḷhavinaya,pi-tv-bu-pm-as3,,,
Paṭiññātakaraṇa,pi-tv-bu-pm-as4,,,
Yebhuyyasikā,pi-tv-bu-pm-as5,,,
Tassapāpiyasikā,pi-tv-bu-pm-as6,,,
Tiṇavatthāraka,pi-tv-bu-pm-as7,,,
Kathina,pi-tv-bu-pm-np1,,,
Udosita,pi-tv-bu-pm-np2,,,
Akālacīvara,pi-tv-bu-pm-np3,,,
Purāṇacīvara,pi-tv-bu-pm-np4,,,
Cīvarapaṭiggahana,pi-tv-bu-pm-np5,,,
Aññātakaviññatti,pi-tv-bu-pm-np6,,,
Tatuttari,pi-tv-bu-pm-np7,,,
Upakkhata,pi-tv-bu-pm-np8,,,
Dutiyaupakkhata,pi-tv-bu-pm-np9,,,
Rāja,pi-tv-bu-pm-np10,,,
Kosiya,pi-tv-bu-pm-np11,,,
Suddhakāla,pi-tv-bu-pm-np12,,,
Dvebhāga,pi-tv-bu-pm-np13,,,
Chabbassa,pi-tv-bu-pm-np14,,,
Nisīdanasanthata,pi-tv-bu-pm-np15,,,
Eḷakaloma,pi-tv-bu-pm-np16,,,
Eḷakalomadhovāpana,pi-tv-bu-pm-np17,,,
Rūpiya,pi-tv-bu-pm-np18,,,
Rūpiyasaṁvohāra,pi-tv-bu-pm-np19,,,
Kayavikkaya,pi-tv-bu-pm-np20,,,
Patta,pi-tv-bu-pm-np21,,,
Ūnapañcabandhana,pi-tv-bu-pm-np22,,,
Bhesajja,pi-tv-bu-pm-np23,,,
Vassikasāṭika,pi-tv-bu-pm-np24,,,
Cīvaraacchindana,pi-tv-bu-pm-np25,,,
Suttaviññatti,pi-tv-bu-pm-np26,,,
Mahāpesakāra,pi-tv-bu-pm-np27,,,
Accekacīvara,pi-tv-bu-pm-np28,,,
Sāsaṅka,pi-tv-bu-pm-np29,,,
Pariṇata,pi-tv-bu-pm-np30,,,
Musāvāda,pi-tv-bu-pm-pc1,,,
Omasavāda,pi-tv-bu-pm-pc2,,,
Pesuñña,pi-tv-bu-pm-pc3,,,
Padasodhamma,pi-tv-bu-pm-pc4,,,
Anupasampannasahaseyya,pi-tv-bu-pm-pc5,,,
Mātugāmasahaseyya,pi-tv-bu-pm-pc6,,,
Dhammadesanā,pi-tv-bu-pm-pc7,,,
Bhūtārocana,pi-tv-bu-pm-pc8,,,
Duṭṭhullārocana,pi-tv-bu-pm-pc9,,,
Pathavīkhaṇana,pi-tv-bu-pm-pc10,,,
Bhūtagāma,pi-tv-bu-pm-pc11,,,
Aññavādaka,pi-tv-bu-pm-pc12,,,
Ujjhāpanaka,pi-tv-bu-pm-pc13,,,
Mañcasanthārana,pi-tv-bu-pm-pc14,,,
Seyyasanthārana,pi-tv-bu-pm-pc15,,,
Anupakhajja,pi-tv-bu-pm-pc16,,,
Nikkaḍḍhana,pi-tv-bu-pm-pc17,,,
Vehāsakuṭi,pi-tv-bu-pm-pc18,,,
Mahallakavihāra,pi-tv-bu-pm-pc19,,,
Sappāṇaka,pi-tv-bu-pm-pc20,,,
Ovāda,pi-tv-bu-pm-pc21,,,
Atthaṅgata,pi-tv-bu-pm-pc22,,,
Bhikkhunupassaya,pi-tv-bu-pm-pc23,,,
Āmisa,pi-tv-bu-pm-pc24,,,
Cīvaradāna,pi-tv-bu-pm-pc25,,,
Cīvarasibbana,pi-tv-bu-pm-pc26,,,
Saṃvidhāna,pi-tv-bu-pm-pc27,,,
Nāvābhiruhana,pi-tv-bu-pm-pc28,,,
Paripācita,pi-tv-bu-pm-pc29,,,
Rahonisajja,pi-tv-bu-pm-pc30,,,
Āvasathapiṇḍa,pi-tv-bu-pm-pc31,,,
Gaṇabhojana,pi-tv-bu-pm-pc32,,,
Paramparabhojana,pi-tv-bu-pm-pc33,,,
Dvittipattapūrapaṭiggahaṇa,pi-tv-bu-pm-pc34,,,
Pavāraṇā,pi-tv-bu-pm-pc35,,,
Dutiyapavāraṇā,pi-tv-bu-pm-pc36,,,
Vikālabhojana,pi-tv-bu-pm-pc37,,,
Sannidhikāraka,pi-tv-bu-pm-pc38,,,
Paṇītabhojana,pi-tv-bu-pm-pc39,,,
Dantapona,pi-tv-bu-pm-pc40,,,
Acelaka,pi-tv-bu-pm-pc41,,,
Uyyojana,pi-tv-bu-pm-pc42,,,
Sabhojana,pi-tv-bu-pm-pc43,,,
Rahopaṭicchanna,pi-tv-bu-pm-pc44,,,
Rahonisajja,pi-tv-bu-pm-pc45,,,
Cāritta,pi-tv-bu-pm-pc46,,,
Catumāsappaccayapavāraṇā,pi-tv-bu-pm-pc47,,,
Uyyuttasenā,pi-tv-bu-pm-pc48,,,
Senāvāsa,pi-tv-bu-pm-pc49,,,
Uyyodhika,pi-tv-bu-pm-pc50,,,
Surāpāna,pi-tv-bu-pm-pc51,,,
Aṅgulipatodaka,pi-tv-bu-pm-pc52,,,
Hasadhamma,pi-tv-bu-pm-pc53,,,
Anādariya,pi-tv-bu-pm-pc54,,,
Bhiṃsāpana,pi-tv-bu-pm-pc55,,,
Jotika,pi-tv-bu-pm-pc56,,,
Nahāna,pi-tv-bu-pm-pc57,,,
Dubbaṇṇakaraṇa,pi-tv-bu-pm-pc58,,,
Vikappana,pi-tv-bu-pm-pc59,,,
Cīvaraapanidhāna,pi-tv-bu-pm-pc60,,,
Sañcicca,pi-tv-bu-pm-pc61,,,
Sappāṇaka,pi-tv-bu-pm-pc62,,,
Ukkoṭana,pi-tv-bu-pm-pc63,,,
Duṭṭhulla,pi-tv-bu-pm-pc64,,,
Ūnavīsativassa,pi-tv-bu-pm-pc65,,,
Theyyasattha,pi-tv-bu-pm-pc66,,,
Saṃvidhāna,pi-tv-bu-pm-pc67,,,
Antarāyika,pi-tv-bu-pm-pc68,,,
Ukkhittasambhoga,pi-tv-bu-pm-pc69,,,
Samaṇuddesaantarāyika,pi-tv-bu-pm-pc70,,,
Sahadhammika,pi-tv-bu-pm-pc71,,,
Vilekhana,pi-tv-bu-pm-pc72,,,
Mohana,pi-tv-bu-pm-pc73,,,
Pahāra,pi-tv-bu-pm-pc74,,,
Talasattika,pi-tv-bu-pm-pc75,,,
Amūlaka,pi-tv-bu-pm-pc76,,,
Sañcicca,pi-tv-bu-pm-pc77,,,
Upassuti,pi-tv-bu-pm-pc78,,,
Kammapaṭibāhana,pi-tv-bu-pm-pc79,,,
Chandaṃadatvāgamana,pi-tv-bu-pm-pc80,,,
Dubbala,pi-tv-bu-pm-pc81,,,
Pariṇāmana,pi-tv-bu-pm-pc82,,,
Antepura,pi-tv-bu-pm-pc83,,,
Ratana,pi-tv-bu-pm-pc84,,,
Vikālagāmappavisana,pi-tv-bu-pm-pc85,,,
Sūcighara,pi-tv-bu-pm-pc86,,,
Mañcapīṭha,pi-tv-bu-pm-pc87,,,
Tūlonaddha,pi-tv-bu-pm-pc88,,,
Nisīdana,pi-tv-bu-pm-pc89,,,
Kaṇḍuppaṭicchādi,pi-tv-bu-pm-pc90,,,
Vassikasāṭikā,pi-tv-bu-pm-pc91,,,
Sugatacīvara,pi-tv-bu-pm-pc92,,,
Paṭhamapāṭidesanīya,pi-tv-bu-pm-pd1,,,
Dutiyapāṭidesanīya,pi-tv-bu-pm-pd2,,,
Tatiyapāṭidesanīya,pi-tv-bu-pm-pd3,,,
Catutthapāṭidesanīya,pi-tv-bu-pm-pd4,,,
Parimaṇḍala,pi-tv-bu-pm-sk1,,,
Dutiyaparimaṇḍala,pi-tv-bu-pm-sk2,,,
Suppaṭicchanna,pi-tv-bu-pm-sk3,,,
Dutiyasuppaṭicchanna,pi-tv-bu-pm-sk4,,,
Susaṃvuta,pi-tv-bu-pm-sk5,,,
Dutiyasusaṃvuta,pi-tv-bu-pm-sk6,,,
Okkhittacakkhu,pi-tv-bu-pm-sk7,,,
Dutiyaokkhittacakkhu,pi-tv-bu-pm-sk8,,,
Ukkhittaka,pi-tv-bu-pm-sk9,,,
Dutiyaukkhittaka,pi-tv-bu-pm-sk10,,,
Ujjagghika,pi-tv-bu-pm-sk11,,,
Dutiyaujjagghika,pi-tv-bu-pm-sk12,,,
Appasadda,pi-tv-bu-pm-sk13,,,
Dutiyaappasadda,pi-tv-bu-pm-sk14,,,
Kāyappacālaka,pi-tv-bu-pm-sk15,,,
Dutiyakāyappacālaka,pi-tv-bu-pm-sk16,,,
Bāhuppacālaka,pi-tv-bu-pm-sk17,,,
Dutiyabāhuppacālaka,pi-tv-bu-pm-sk18,,,
Sīsappacālaka,pi-tv-bu-pm-sk19,,,
Dutiyasīsappacālaka,pi-tv-bu-pm-sk20,,,
Khambhakata,pi-tv-bu-pm-sk21,,,
Dutiyakhambhakata,pi-tv-bu-pm-sk22,,,
Oguṇṭhita,pi-tv-bu-pm-sk23,,,
Dutiyaoguṇṭhita,pi-tv-bu-pm-sk24,,,
Ukkuṭika,pi-tv-bu-pm-sk25,,,
Pallatthika,pi-tv-bu-pm-sk26,,,
Sakkaccapaṭiggahaṇa,pi-tv-bu-pm-sk27,,,
Pattasaññīpaṭiggahaṇa,pi-tv-bu-pm-sk28,,,
Samasūpakapaṭiggahaṇa,pi-tv-bu-pm-sk29,,,
Samatittika,pi-tv-bu-pm-sk30,,,
Sakkacca,pi-tv-bu-pm-sk31,,,
Pattasaññī,pi-tv-bu-pm-sk32,,,
Sapadāna,pi-tv-bu-pm-sk33,,,
Samasūpaka,pi-tv-bu-pm-sk34,,,
Thūpakata,pi-tv-bu-pm-sk35,,,
Odanappaṭicchādana,pi-tv-bu-pm-sk36,,,
Sūpodanaviññatti,pi-tv-bu-pm-sk37,,,
Ujjhānasaññī,pi-tv-bu-pm-sk38,,,
Nātimahanta,pi-tv-bu-pm-sk39,,,
Parimaṇḍala,pi-tv-bu-pm-sk40,,,
Anāhaṭa,pi-tv-bu-pm-sk41,,,
Sabbahattha,pi-tv-bu-pm-sk42,,,
Sakabaḷa,pi-tv-bu-pm-sk43,,,
Piṇḍukkhepaka,pi-tv-bu-pm-sk44,,,
Kabaḷāvacchedaka,pi-tv-bu-pm-sk45,,,
Avagaṇḍakāraka,pi-tv-bu-pm-sk46,,,
Hatthaniddhunaka,pi-tv-bu-pm-sk47,,,
Sitthāvakāraka,pi-tv-bu-pm-sk48,,,
Jivhānicchāraka,pi-tv-bu-pm-sk49,,,
Capucapukāraka,pi-tv-bu-pm-sk50,,,
Surusurukāraka,pi-tv-bu-pm-sk51,,,
Hatthanillehaka,pi-tv-bu-pm-sk52,,,
Pattanillehaka,pi-tv-bu-pm-sk53,,,
Oṭṭhanillehaka,pi-tv-bu-pm-sk54,,,
Sāmisa,pi-tv-bu-pm-sk55,,,
Sasitthaka,pi-tv-bu-pm-sk56,,,
Chattapāṇi,pi-tv-bu-pm-sk57,,,
Daṇḍapāṇi,pi-tv-bu-pm-sk58,,,
Satthapāṇi,pi-tv-bu-pm-sk59,,,
Āvudhapāṇi,pi-tv-bu-pm-sk60,,,
Pāduka,pi-tv-bu-pm-sk61,,,
Upāhanāruḷha,pi-tv-bu-pm-sk62,,,
Yāna,pi-tv-bu-pm-sk63,,,
Sayana,pi-tv-bu-pm-sk64,,,
Pallatthika,pi-tv-bu-pm-sk65,,,
Veṭhita,pi-tv-bu-pm-sk66,,,
Oguṇṭhita,pi-tv-bu-pm-sk67,,,
Chamā,pi-tv-bu-pm-sk68,,,
Nīcāsana,pi-tv-bu-pm-sk69,,,
Ṭhita,pi-tv-bu-pm-sk70,,,
Pacchatogamana,pi-tv-bu-pm-sk71,,,
Uppathenagamana,pi-tv-bu-pm-sk72,,,
Ṭhitouccāra,pi-tv-bu-pm-sk73,,,
Hariteuccāra,pi-tv-bu-pm-sk74,,,
Udakeuccāra,pi-tv-bu-pm-sk75,,,
Paṭhamaaniyata,pi-tv-bu-pm-an1,,,
Dutiyaaniyata,pi-tv-bu-pm-an2,,,
Methunadhamma,pi-tv-pvr-bu-pj1,,,
Dinnādāna,pi-tv-pvr-bu-pj2,,,
Manussaviggaha,pi-tv-pvr-bu-pj3,,,
Uttarimanussadhamma,pi-tv-pvr-bu-pj4,,,
Sukkavisaṭṭhi,pi-tv-pvr-bu-ss1,,,
Kāyasaṁsagga,pi-tv-pvr-bu-ss2,,,
Duṭṭhullavācā,pi-tv-pvr-bu-ss3,,,
Attakāmpāricariya,pi-tv-pvr-bu-ss4,,,
Sañcaritta,pi-tv-pvr-bu-ss5,,,
Kuṭikāra,pi-tv-pvr-bu-ss6,,,
Vihārakāra,pi-tv-pvr-bu-ss7,,,
Duṭṭhadosa,pi-tv-pvr-bu-ss8,,,
Aññabhāgiya,pi-tv-pvr-bu-ss9,,,
Saṅghabheda,pi-tv-pvr-bu-ss10,,,
Bhedānuvattaka,pi-tv-pvr-bu-ss11,,,
Dubbaca,pi-tv-pvr-bu-ss12,,,
Kuladūsaka,pi-tv-pvr-bu-ss13,,,
Sammukhāvinaya,pi-tv-pvr-bu-as1,,,
Sativinaya,pi-tv-pvr-bu-as2,,,
Amūḷhavinaya,pi-tv-pvr-bu-as3,,,
Paṭiññātakaraṇa,pi-tv-pvr-bu-as4,,,
Yebhuyyasikā,pi-tv-pvr-bu-as5,,,
Tassapāpiyasikā,pi-tv-pvr-bu-as6,,,
Tiṇavatthāraka,pi-tv-pvr-bu-as7,,,
Kathina,pi-tv-pvr-bu-np1,,,
Udosita,pi-tv-pvr-bu-np2,,,
Akālacīvara,pi-tv-pvr-bu-np3,,,
Purāṇacīvara,pi-tv-pvr-bu-np4,,,
Cīvarapaṭiggahana,pi-tv-pvr-bu-np5,,,
Aññātakaviññatti,pi-tv-pvr-bu-np6,,,
Tatuttari,pi-tv-pvr-bu-np7,,,
Upakkhata,pi-tv-pvr-bu-np8,,,
Dutiyaupakkhata,pi-tv-pvr-bu-np9,,,
